// SOMLIT somlit.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// hydro Export by Nicolas SAVOYE,30/05/2024,14:22:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_SITE,DATE,HEURE,COEF_MAREE,MAREE,PROF_TEXT,PROF_NUM,nomSite*,gpsLat*,gpsLong*,T,qT,S,qS,O,qO,PH,qPH,NH4,qNH4,NO3,qNO3,NO2,qNO2,PO4,qPO4,SIOH4,qSIOH4,COP,qCOP,NOP,qNOP,MES,qMES,DN15,qDN15,DC13,qDC13,CN,qCN,CHLA,qCHLA,PHEO,qPHEO
//,(yyyy-mm-dd),(hh:mm:ss),-,-,-,m,,(wgs84),(wgs84),°C,,PSU,,ml/l,,,,µmol/l,,µmol/l,,µmol/l,,µmol/l,,µmol/l,,µg/l,,µg/l,,mg/l,,‰,,‰,,(moles/moles),,µg/l,,µg/l,
6,15/01/1997,14:40:00,73,BM,S,1,Eyrac,44.6641,-1.14313,7.3,7,24.5,7,999999,9,999999,9,999999,9,0.45,7,0.05,7,0.12,7,999999,9,999999,9,999999,9,2.51,7,999999,9,999999,9,999999,9,1.42,7,999999,9
6,15/01/1997,09:12:00,73,PM,S,1,Eyrac,44.6641,-1.14313,8.1,2,27.4,2,999999,9,999999,9,999999,9,0.34,2,999999,9,0.1,2,999999,9,999999,9,999999,9,3.12,2,999999,9,999999,9,999999,9,999999,9,999999,9
6,15/01/1997,14:40:00,73,BM,F,6,Eyrac,44.6641,-1.14313,7.4,7,24.3,7,999999,9,999999,9,999999,9,0.63,7,0.04,7,0.22,7,999999,9,999999,9,999999,9,2.02,7,999999,9,999999,9,999999,9,1.91,7,999999,9
6,15/01/1997,09:12:00,73,PM,F,6,Eyrac,44.6641,-1.14313,8.3,2,27.7,2,999999,9,999999,9,999999,9,0.55,2,999999,9,0.16,2,999999,9,999999,9,999999,9,13.98,2,999999,9,999999,9,999999,9,999999,9,999999,9
6,19/02/1997,08:55:00,59,BM,S,1,Eyrac,44.6641,-1.14313,9.9,7,26,7,7.52,7,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,3.54,7,999999,9,999999,9,999999,9,999999,9,999999,9
6,19/02/1997,15:00:00,64,PM,S,1,Eyrac,44.6641,-1.14313,12,2,30.6,2,7.33,2,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,3.01,2,999999,9,999999,9,999999,9,999999,9,999999,9
6,19/02/1997,08:55:00,59,BM,F,6,Eyrac,44.6641,-1.14313,10.1,7,25.6,7,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,13.33,7,999999,9,999999,9,999999,9,999999,9,999999,9
6,19/02/1997,15:00:00,64,PM,F,6,Eyrac,44.6641,-1.14313,11.7,2,31.1,2,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,2.55,2,999999,9,999999,9,999999,9,0.01,3,999999,9
6,26/03/1997,11:44:00,89,BM,S,1,Eyrac,44.6641,-1.14313,13.2,7,29.4,7,5.83,7,999999,9,999999,9,1.23,7,0.06,7,0.26,7,999999,9,999999,9,999999,9,11.48,7,999999,9,999999,9,999999,9,999999,9,999999,9
6,26/03/1997,05:40:00,89,PM,S,1,Eyrac,44.6641,-1.14313,12.8,2,33.7,2,6.31,2,999999,9,999999,9,1.21,2,0.06,2,0.19,2,999999,9,999999,9,999999,9,33.47,2,999999,9,999999,9,999999,9,0.01,3,999999,9
6,26/03/1997,05:40:00,89,PM,F,6,Eyrac,44.6641,-1.14313,12.3,2,34.2,2,999999,9,999999,9,999999,9,1.39,2,999999,9,0.26,2,999999,9,999999,9,999999,9,24,2,999999,9,999999,9,999999,9,0.01,3,999999,9
6,26/03/1997,11:44:00,89,BM,F,6,Eyrac,44.6641,-1.14313,13.2,7,29.4,7,999999,9,999999,9,999999,9,1.44,7,0.05,7,0.28,7,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,2.08,7,999999,9
6,23/04/1997,10:30:00,87,BM,S,1,Eyrac,44.6641,-1.14313,12.8,7,32.3,7,999999,9,999999,9,999999,9,0.98,7,0.05,7,0.41,7,999999,9,999999,9,999999,9,6.8,7,999999,9,999999,9,999999,9,2.08,7,999999,9
6,23/04/1997,05:50:00,87,PM,S,1,Eyrac,44.6641,-1.14313,12.5,2,34.1,2,999999,9,999999,9,999999,9,0.85,2,999999,9,0.35,2,999999,9,999999,9,999999,9,29.28,2,999999,9,999999,9,999999,9,11.13,2,999999,9
6,23/04/1997,10:30:00,87,BM,F,6,Eyrac,44.6641,-1.14313,12.9,7,32.4,7,999999,9,999999,9,999999,9,1.02,7,0.03,7,0.54,7,999999,9,999999,9,999999,9,10.2,7,999999,9,999999,9,999999,9,2.52,7,999999,9
6,23/04/1997,05:50:00,87,PM,F,6,Eyrac,44.6641,-1.14313,12.2,2,34.1,2,999999,9,999999,9,999999,9,0.97,2,999999,9,0.38,2,999999,9,999999,9,999999,9,14.35,2,999999,9,999999,9,999999,9,2.42,2,999999,9
6,16/05/1997,05:30:00,38,BM,S,1,Eyrac,44.6641,-1.14313,17.1,7,31.5,7,6.24,7,999999,9,999999,9,1.87,7,0.02,7,0.25,7,999999,9,999999,9,999999,9,2.07,7,999999,9,999999,9,999999,9,2.23,7,999999,9
6,16/05/1997,12:20:00,38,PM,S,1,Eyrac,44.6641,-1.14313,17.4,2,33,2,6,2,999999,9,999999,9,1.67,2,999999,9,0.21,2,999999,9,999999,9,999999,9,2.12,2,999999,9,999999,9,999999,9,2.34,2,999999,9
6,16/05/1997,05:30:00,38,BM,F,6,Eyrac,44.6641,-1.14313,17.1,7,31.5,7,5.79,7,999999,9,999999,9,2.01,7,0.03,7,0.24,7,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,0.73,7,999999,9
6,16/05/1997,12:20:00,38,PM,F,6,Eyrac,44.6641,-1.14313,17,2,33,2,5.71,2,999999,9,999999,9,1.95,2,999999,9,0.22,2,999999,9,999999,9,999999,9,1.86,2,999999,9,999999,9,999999,9,2.24,2,999999,9
6,19/06/1997,09:15:00,72,BM,S,1,Eyrac,44.6641,-1.14313,21,7,31.3,7,999999,9,999999,9,999999,9,0.57,7,0.07,7,0.59,7,999999,9,999999,9,999999,9,9.69,7,999999,9,999999,9,999999,9,1.83,7,999999,9
6,19/06/1997,14:55:00,77,PM,S,1,Eyrac,44.6641,-1.14313,20.1,2,999999,9,999999,9,999999,9,999999,9,0.58,2,0.05,2,0.45,2,999999,9,999999,9,999999,9,13.13,2,999999,9,999999,9,999999,9,2.62,2,999999,9
6,19/06/1997,09:15:00,72,BM,F,6,Eyrac,44.6641,-1.14313,21,7,31.3,7,999999,9,999999,9,999999,9,0.64,7,0.06,7,0.67,7,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,2.98,7,999999,9
6,19/06/1997,14:55:00,77,PM,F,6,Eyrac,44.6641,-1.14313,20.5,2,999999,9,999999,9,999999,9,999999,9,0.59,2,0.05,2,0.57,2,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,999999,9,1.92,2,999999,9
